data;receita;transacoes_blog;transacoes_site;usuarios_blog;usuarios_site
10/12/2019;2929236;0;45957;0;156936
11/12/2019;3522611;0;50195;0;160884
12/12/2019;2647684;0;41079;0;166008
13/12/2019;2520455;0;45342;0;154196
14/12/2019;1709134;0;24266;0;129015
15/12/2019;1439500;0;22222;0;121817
16/12/2019;1966800;0;33019;0;162512
17/12/2019;2575685;0;35611;0;168365
18/12/2019;1729099;0;35801;0;204709
19/12/2019;2006877;0;39449;0;142068
20/12/2019;1110453;0;17872;0;97975
21/12/2019;786872;0;12265;0;63549
22/12/2019;732012;0;10582;0;67245
23/12/2019;841704;0;13747;0;70177
24/12/2019;601619;0;8224;0;51262
25/12/2019;619924;0;9198;0;48538
26/12/2019;1083355;0;15360;0;74341
27/12/2019;1066637;0;14398;0;74430
28/12/2019;715590;0;12532;0;63029
29/12/2019;666719;0;10301;0;50660
30/12/2019;769048;0;13772;0;66250
31/12/2019;460630;0;8697;0;39510
01/01/2020;683982;0;7801;0;45826
02/01/2020;1379278;0;16740;0;83165
03/01/2020;810544;0;11653;0;82754
04/01/2020;635750;0;10112;0;54896
05/01/2020;386322;0;9243;0;51401
06/01/2020;791438;0;10455;0;72099
07/01/2020;625905;0;9534;0;73819
08/01/2020;326740;0;8440;0;66937
09/01/2020;590925;0;10688;0;69941
10/01/2020;660600;0;9529;0;65720
11/01/2020;498980;0;7227;0;32065
12/01/2020;430467;0;7270;0;26298
13/01/2020;937321;0;11576;0;55439
14/01/2020;1185714;0;12987;0;65670
15/01/2020;1182717;0;13310;0;70056
16/01/2020;1057334;0;11883;0;64098
17/01/2020;788870;0;10438;0;59515
18/01/2020;678906;0;7806;0;41250
19/01/2020;550153;0;7175;0;36934
20/01/2020;1013624;0;11286;0;64417
21/01/2020;1025684;0;12527;0;66458
22/01/2020;1318242;0;15569;0;68813
23/01/2020;1524284;0;16368;0;70986
24/01/2020;1298355;0;14485;0;61793
25/01/2020;1064119;0;12521;0;53280
26/01/2020;940036;0;11211;0;45696
27/01/2020;1127488;0;14351;0;76148
28/01/2020;1193287;0;15345;0;77251
29/01/2020;1515038;0;16369;0;74254
30/01/2020;1584050;0;15265;0;69066
31/01/2020;1385024;0;16034;0;62838
01/02/2020;914043;0;10368;0;44199
02/02/2020;1098480;0;11989;0;40996
03/02/2020;1216192;0;14080;0;64132
04/02/2020;1330583;0;14842;0;70889
05/02/2020;1936601;0;22273;0;68933
06/02/2020;2119490;0;22567;0;79817
07/02/2020;1775681;0;20767;0;76291
08/02/2020;1455606;0;16131;0;59357
09/02/2020;1125417;0;13621;0;51900
10/02/2020;1802860;0;20139;0;74017
11/02/2020;1944040;0;21843;0;89509
12/02/2020;1842231;0;22360;0;86874
13/02/2020;1926669;0;22235;0;84826
14/02/2020;1399985;0;18913;0;80374
15/02/2020;997701;0;12141;0;62366
16/02/2020;969608;0;11029;0;57944
17/02/2020;1253782;0;16205;0;75096
18/02/2020;1308335;0;17965;0;74468
19/02/2020;1391111;0;15259;0;64595
20/02/2020;1261399;0;14096;0;58970
21/02/2020;802010;0;10512;0;51716
22/02/2020;610285;0;8077;0;40339
23/02/2020;576451;0;7323;0;35665
24/02/2020;534000;0;8607;0;46915
25/02/2020;703749;0;9086;0;51016
26/02/2020;941342;0;12835;0;66937
27/02/2020;942069;0;13922;0;73768
28/02/2020;1428003;0;16418;0;76121
29/02/2020;994897;0;14894;0;60908
01/03/2020;918098;0;14608;0;56921
02/03/2020;1553460;0;18990;0;88399
03/03/2020;1586370;0;19943;0;89456
04/03/2020;1663222;0;19655;0;82294
05/03/2020;1642192;0;19239;0;89151
06/03/2020;1378802;0;17663;0;76902
07/03/2020;848621;0;12420;0;67501
08/03/2020;931694;0;12629;0;57931
09/03/2020;1270734;0;17516;0;103429
10/03/2020;1723610;0;20216;0;98875
11/03/2020;2682144;0;32467;0;183440
12/03/2020;2293221;0;27956;0;121214
13/03/2020;2050124;0;27470;0;113998
14/03/2020;1627842;0;20680;0;97533
15/03/2020;1320882;0;18224;0;98624
16/03/2020;1330053;0;17006;0;106680
17/03/2020;2058815;0;25266;0;135727
18/03/2020;1338909;0;14454;0;123314
19/03/2020;900173;0;11627;0;97309
20/03/2020;723096;0;9087;0;87819
21/03/2020;539155;0;8283;0;60714
22/03/2020;568502;0;7448;0;62076
23/03/2020;758627;0;11240;0;73543
24/03/2020;788503;0;16865;0;97419
25/03/2020;1277917;0;21190;0;104581
26/03/2020;1356012;0;20893;0;98529
27/03/2020;1209635;0;18954;0;97514
28/03/2020;1045984;0;17946;0;73746
29/03/2020;849548;0;14403;0;70720
30/03/2020;1342004;0;23193;0;91111
31/03/2020;2039370;0;31762;0;104998
01/04/2020;2068535;0;31434;0;128812
02/04/2020;2229991;0;33324;0;128689
03/04/2020;1594728;0;26164;0;117194
04/04/2020;1336280;0;19469;0;99266
05/04/2020;953421;0;17908;0;88720
06/04/2020;1633496;0;26829;0;128432
07/04/2020;2121715;0;29525;0;118765
08/04/2020;2251973;0;33500;0;124478
09/04/2020;2517745;0;34534;0;112515
10/04/2020;2235548;0;30952;0;114771
11/04/2020;1599594;0;25059;0;101382
12/04/2020;1135827;0;19651;0;93706
13/04/2020;2587881;0;38832;0;134009
14/04/2020;2832209;0;44837;0;140659
15/04/2020;2847044;0;39179;0;108480
16/04/2020;2086426;0;34319;0;115983
17/04/2020;1956898;0;31338;0;114956
18/04/2020;1432696;0;24059;0;105922
19/04/2020;1355339;0;24209;0;110477
20/04/2020;1856714;0;28569;0;138097
21/04/2020;1742853;0;29501;0;126140
22/04/2020;1876664;0;32153;0;127049
23/04/2020;2842515;0;44249;0;154109
24/04/2020;2343938;0;35345;0;132797
25/04/2020;1930170;0;32504;0;112752
26/04/2020;1174859;0;27931;0;122323
27/04/2020;1962697;0;31100;0;150274
28/04/2020;2058544;0;36782;0;152159
29/04/2020;2356260;0;37838;0;151652
30/04/2020;2181905;0;31250;0;149984
01/05/2020;1513947;0;29826;0;160675
02/05/2020;1219700;0;24413;0;152843
03/05/2020;944133;0;23393;0;138644
04/05/2020;1843662;0;37478;0;196648
05/05/2020;1982777;0;34422;0;183548
06/05/2020;1965368;0;30633;0;180495
07/05/2020;2082940;0;30185;0;151211
08/05/2020;1920905;0;26040;0;143727
09/05/2020;1592766;0;22126;0;110609
10/05/2020;1147704;0;18550;0;89043
11/05/2020;2457999;0;29562;0;136374
12/05/2020;2615746;0;34559;0;133629
13/05/2020;2601558;0;29276;0;131926
14/05/2020;2468970;0;30596;0;128546
15/05/2020;2333594;0;26544;0;109729
16/05/2020;1930961;0;22387;0;95526
17/05/2020;1458385;0;18753;0;86581
18/05/2020;2214192;0;30541;0;116325
19/05/2020;2500045;0;30311;0;120819
20/05/2020;2009544;0;25627;0;115855
21/05/2020;2023912;0;26038;0;117041
22/05/2020;1750830;0;20710;0;103372
23/05/2020;1480626;0;19567;0;84762
24/05/2020;1169042;0;15295;0;78181
25/05/2020;1678925;0;24019;0;114042
26/05/2020;2056627;0;30289;0;127628
27/05/2020;2944816;0;32761;0;141234
28/05/2020;2666364;0;31111;0;144696
29/05/2020;2694096;0;32421;0;122685
30/05/2020;2215956;0;25632;0;112932
31/05/2020;2122420;0;23495;0;107325
01/06/2020;2166784;301;29095;856;131209
02/06/2020;2325207;458;31840;697;157032
03/06/2020;2689781;435;33739;521;142649
04/06/2020;2458059;599;33464;1449;153545
05/06/2020;2461542;870;28136;1066;136153
06/06/2020;2600215;635;23918;1410;127392
07/06/2020;2644617;618;23591;891;145889
08/06/2020;2127807;1032;34159;1027;207499
09/06/2020;2208303;1110;33157;1948;217632
10/06/2020;2532191;1172;28811;1493;175545
11/06/2020;2477388;1185;25082;1874;151165
12/06/2020;2670025;932;17750;2179;127687
13/06/2020;2782525;1018;14549;1770;79160
14/06/2020;2391649;1625;13936;2732;97847
15/06/2020;2488997;1560;23391;2675;124267
16/06/2020;2452089;1443;21948;2874;129545
17/06/2020;2374885;1356;26727;2656;117706
18/06/2020;2512527;1807;27188;2885;112658
19/06/2020;2693101;1570;21805;3362;106369
20/06/2020;2888224;1580;20118;3085;90571
21/06/2020;3073605;1729;18745;3322;74498
22/06/2020;3068281;1840;19193;2991;99796
23/06/2020;3090753;1900;21933;3100;97003
24/06/2020;2982350;2015;21523;3707;98802
25/06/2020;3121056;2272;22595;4014;102292
26/06/2020;3412647;1987;23543;3921;101055
27/06/2020;3237617;2200;23408;4299;80578
28/06/2020;2979901;2152;12700;3353;64337
29/06/2020;3423960;2369;21985;3944;99111
30/06/2020;3121668;2820;25290;4405;100507
01/07/2020;3270011;2763;23678;4581;99599
02/07/2020;2925299;2829;21466;3915;101396
03/07/2020;2445790;2579;16940;4004;90090
04/07/2020;2139821;2623;16246;4634;76184
05/07/2020;2113402;3239;15054;4612;80003
06/07/2020;2954232;3193;22433;4777;96446
07/07/2020;3186048;3089;24847;5506;103344
08/07/2020;3362051;3298;24024;4910;113341
09/07/2020;3100886;3441;23146;5433;143451
10/07/2020;2771160;3542;20095;5080;109873
11/07/2020;2173965;2850;15255;5657;91205
12/07/2020;2002447;3319;15156;5698;84626
13/07/2020;3571990;3696;25656;6325;109822
14/07/2020;3537949;3845;24977;6322;123468
15/07/2020;3272407;3401;22755;5908;118697
16/07/2020;3649695;3739;28589;5619;118873
17/07/2020;2405101;3653;16476;6713;101818
18/07/2020;1840186;3961;13927;6174;84825
19/07/2020;2041331;4098;12175;6257;89369
20/07/2020;2757517;4111;18729;5933;108325
21/07/2020;3094987;4029;21081;7025;115157
22/07/2020;4262281;4097;27757;6412;136204
23/07/2020;3904827;4177;29264;6696;116926
24/07/2020;2703976;4183;17777;6786;100524
25/07/2020;2276201;4200;14821;7163;82886
26/07/2020;2011510;4925;13271;8123;85736
27/07/2020;2752601;4396;20747;7999;120842
28/07/2020;3152325;4515;22030;7763;131497
29/07/2020;3438640;4548;22510;7963;157366
30/07/2020;3449796;4650;24007;8307;146599
31/07/2020;2958610;4555;22419;7499;134024
01/08/2020;2226526;4617;15354;7906;103055
02/08/2020;2758237;5019;17230;8314;113692
03/08/2020;3711170;5586;25172;9730;158594
04/08/2020;3685070;5298;26465;9790;155236
05/08/2020;3354997;4740;23943;10381;136290
06/08/2020;3315023;4842;21771;10501;136686
07/08/2020;2282496;3221;16484;10456;144857
08/08/2020;1619291;2519;11088;8751;140843
09/08/2020;1704958;2391;10947;8728;113471
10/08/2020;2655296;3025;17809;11790;103929
11/08/2020;3243216;3257;24500;11427;109032
12/08/2020;3404659;3511;26276;12514;117914
13/08/2020;2889479;3186;23129;12067;98282
14/08/2020;2523376;3163;19427;10752;97872
15/08/2020;2063989;2966;15584;9034;89358
16/08/2020;2145982;3761;14894;10369;85858
17/08/2020;2992048;3770;22565;12281;107261
18/08/2020;3268901;3496;23865;12712;119540
19/08/2020;2992049;3837;21778;12640;109757
20/08/2020;2712676;3255;19343;11741;114587
21/08/2020;2468131;3093;17789;10241;111087
22/08/2020;1724645;2758;13167;9718;90325
23/08/2020;1414351;2005;10159;10503;81286
24/08/2020;2460346;2882;18306;11590;111391
25/08/2020;2738157;2638;19296;12023;108092
26/08/2020;2590392;3521;15376;10903;119168
27/08/2020;2651032;2014;15597;11028;115933
28/08/2020;4202601;2086;23715;11191;112145
29/08/2020;3699480;1863;21009;9871;100443
30/08/2020;3400766;2320;20445;10479;102764
31/08/2020;5663636;3726;35216;11895;129140
01/09/2020;4101081;3945;25472;13059;122145
02/09/2020;2727729;2661;18251;12032;116182
03/09/2020;2722274;2973;17706;11371;112383
04/09/2020;2480789;1896;16359;9144;101676
05/09/2020;1919889;1597;11391;8430;85971
06/09/2020;1650809;1342;11610;8821;79666
07/09/2020;2449649;1954;14032;9922;96895
08/09/2020;2784675;2372;16845;10691;111721
09/09/2020;3376713;2703;21067;10994;115833
10/09/2020;3330510;2617;18348;11596;108591
11/09/2020;2529372;1790;15821;10487;98418
12/09/2020;2152329;2068;12884;10308;83189
13/09/2020;2166849;2455;13320;10006;81642
14/09/2020;3886908;2897;24192;12090;121453
15/09/2020;3825491;3127;24819;11457;169683
16/09/2020;5614618;3013;32787;11973;155670
17/09/2020;5478052;3031;30930;11655;141141
18/09/2020;3489949;2101;22536;10586;128774
19/09/2020;2238474;1566;20679;9854;111836
20/09/2020;2345335;2144;17571;11056;106702
21/09/2020;2438044;2222;20264;11828;124799
22/09/2020;3250839;3969;26435;12573;139471
23/09/2020;4007509;3311;33601;10899;145956
24/09/2020;3648743;2379;22807;11700;130853
25/09/2020;3320034;1996;21578;10082;112163
26/09/2020;2509687;1580;15320;9292;96178
27/09/2020;2182679;1838;14135;10052;103494
28/09/2020;3496475;2684;21724;11224;127524
29/09/2020;4519732;3037;28017;11570;150116
30/09/2020;6240174;3848;38535;9685;150780
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
